country,city,lat,lon,geocode_query,geocode_status
Vietnam,Phu Quoc Flygplats,10.1678855,103.997528,"PHU QUOC FLYGPLATS, Vietnam",ok_primary
Sweden,Stockholm Arlanda,59.6519,17.9186,hardcoded,hardcoded
Vietnam,Hanoi,21.0283334,105.854041,"HANOI, Vietnam",ok_primary
Afghanistan,Kabul,34.5269503,69.1850584,"KABUL, Afghanistan",ok_primary
Albania,Tirana,41.3281482,19.8184435,"TIRANA, Albania",ok_primary
Algeria,Alger,36.7729333,3.0588445,"Alger, Algeria",ok_primary
Algeria,Boufarik,36.5755523,2.9128963,"BOUFARIK, Algeria",ok_primary
Algeria,Tamanrasset,22.7859372,5.5291395,"TAMANRASSET, Algeria",ok_primary
Antigua and Barbuda,Antigua,17.1037152,-61.7904505,"Antigua, Antigua and Barbuda",ok_primary
United States,Twin Falls,42.5558542,-114.4700684,"TWIN FALLS, United States",ok_primary
United States,Trenton,40.2203074,-74.7659,"TRENTON, United States",ok_primary
United States,Tokeen,56.0452027,-133.4318726,"TOKEEN, United States",ok_primary
United States,Teterboro,40.8598219,-74.0593075,"TETERBORO, United States",ok_primary
United States,Tampa,27.9449854,-82.4583107,"TAMPA, United States",ok_primary
United States,Syracuse,43.0481221,-76.1474244,"Syracuse, United States",ok_primary
United States,Seattle-Tacoma,47.4475673,-122.3080159,"Seattle-Tacoma, United States",ok_primary
United States,Seattle,47.6038321,-122.330062,"Seattle, United States",ok_primary
United States,Santa Clara County,37.2333253,-121.6846349,"Santa Clara County, United States",ok_primary
United States,San Jose,37.3361663,-121.890591,"San Jose, United States",ok_primary
United States,San Francisco,37.7879363,-122.4075201,"San Francisco, United States",ok_primary
United States,San Diego,32.7174202,-117.162772,"San Diego, United States",ok_primary
United States,Stuart,27.197983,-80.2519175,"STUART, United States",ok_primary
United States,St. Louis,38.6254063,-90.190009,"ST. LOUIS, United States",ok_primary
United States,Southwest Michigan,42.3300792,-83.1201845,"SOUTHWEST MICHIGAN, United States",ok_primary
Bermuda,Bermuda,32.3022282,-64.7741121,"BERMUDA, Bermuda",ok_primary
Belgium,Oostende Brugge,51.2003125,2.8739254,"Oostende Brugge, Belgium",ok_primary
Belgium,Oostende-Brugge,51.2003125,2.8739254,"OOSTENDE-BRUGGE, Belgium",ok_primary
Belgium,Liege,50.4708135,5.7735658,"Liege, Belgium",ok_primary
Belgium,Kortrijk-Wevelgem,50.8149741,3.1929918,"KORTRIJK-WEVELGEM, Belgium",ok_primary
Belgium,Charleroi,50.4116233,4.444528,"Charleroi, Belgium",ok_primary
Belgium,Brussels,50.8467372,4.352493,"Brussels, Belgium",ok_primary
Belgium,Antwerp,51.2211097,4.3997081,"Antwerpen, Belgium",ok_primary
Belarus,Vitebsk,55.1930197,30.2070437,"VITEBSK, Belarus",ok_primary
Belarus,Minsk,53.9024716,27.5618225,"MINSK, Belarus",ok_primary
Belarus,Grodno,53.6834599,23.8342648,"GRODNO, Belarus",ok_primary
Barbados,Barbados,13.1899463,-59.5592151,"BARBADOS, Barbados",ok_primary
Canada,Goose Bay,53.333333,-60.416667,"GOOSE BAY, Canada",ok_primary
Canada,Gander,48.9592291,-54.6187879,"GANDER, Canada",ok_primary
Bulgaria,Varna,43.2073873,27.9166653,"Varna, Bulgaria",ok_primary
Bulgaria,Sofia,42.6977028,23.3217359,"Sofia, Bulgaria",ok_primary
Bulgaria,Burgas,42.4936616,27.4721276,"Burgas, Bulgaria",ok_primary
Brazil,Sao Paolo,-23.5506507,-46.6333824,"SAO PAOLO, Brazil",ok_primary
Brazil,Brasilia,-15.7939869,-47.8828,"BRASILIA, Brazil",ok_primary
Botswana,Sir Seretse Khama In,-23.1681782,24.5928742,Botswana,ok_fallback
Bosnia and Herzegovina,Tuzla,44.539298,18.6749337,"Tuzla, Bosnia and Herzegovina",ok_primary
Bosnia and Herzegovina,Sarajevo,43.8570713,18.4126147,"Sarajevo, Bosnia and Herzegovina",ok_primary
Bosnia and Herzegovina,Banja Luka,44.7720845,17.1917651,"Banja Luka, Bosnia and Herzegovina",ok_primary
Cape Verde,Rabil/Boa Vista,16.1280304,-22.8884999,"RABIL/BOA VISTA, Cape Verde",ok_primary
Cape Verde,Okand,16.0000552,-24.0083947,Cape Verde,ok_fallback
Cape Verde,Boa Vista,16.099509,-22.8009411,"Boa Vista, Cape Verde",ok_primary
Cape Verde,Amilcar Cabral/Sal I,16.6002099,-22.9086891,"AMILCAR CABRAL/SAL I, Cape Verde",ok_primary
Canada,Winnipeg,49.8955367,-97.1384584,"WINNIPEG, Canada",ok_primary
Canada,Vancouver,49.2608724,-123.113952,"VANCOUVER, Canada",ok_primary
Canada,Toronto,43.6534817,-79.3839347,"Toronto, Canada",ok_primary
Canada,St. John´S,47.5646794,-52.7066964,"ST. JOHN´S, Canada",ok_primary
Canada,Quebec,52.4760892,-71.8258668,"Quebec, Canada",ok_primary
Canada,Ottawa,45.4208777,-75.6901106,"OTTAWA, Canada",ok_primary
Canada,Montreal,45.5031824,-73.5698065,"Montreal, Canada",ok_primary
Canada,Iqaluit,63.7492738,-68.5213763,"IQALUIT, Canada",ok_primary
Canada,Halifax,44.648618,-63.5859487,"HALIFAX, Canada",ok_primary
Canada,Gravenhurst,44.91741,-79.373131,"GRAVENHURST, Canada",ok_primary
China,Xian Xianyang Int Ai,34.5412252,108.9237067,China,ok_fallback
China,Tianjin,39.3032619,117.4163641,"TIANJIN, China",ok_primary
China,Shenyang,41.8026095,123.4279105,"Shenyang, China",ok_primary
China,Shanghai,31.2312707,121.4700152,"Shanghai, China",ok_primary
China,Shenzhen,22.5445741,114.0545429,"SHENZHEN, China",ok_primary
China,Shanghai/Pudong,31.1427359,121.8041131,"SHANGHAI/PUDONG, China",ok_primary
China,Nanjing/Lukou,31.7331769,118.8712637,"NANJING/LUKOU, China",ok_primary
China,Hohhot,40.8184528,111.6601939,"HOHHOT, China",ok_primary
China,Hangshou Xiaoshan,34.5412252,108.9237067,China,ok_fallback
China,Haikou/Meilan,20.0549901,110.3325456,"HAIKOU/MEILAN, China",ok_primary
China,Guangzhou/Baiyun,23.194037,113.2405097,"GUANGZHOU/BAIYUN, China",ok_primary
China,Dalian/Zhoushuizi,38.9641515,121.5391765,"DALIAN/ZHOUSHUIZI, China",ok_primary
China,Beijing,39.9057136,116.3912972,"Beijing, China",ok_primary
Cape Verde,Sal Island,16.7517858,-22.936335,"Sal Island, Cape Verde",ok_primary
Cyprus,Ercan International,34.9174159,32.8899027,Cyprus,ok_fallback
Cuba,Varadero/Gomez,23.0331717,-81.4388163,"VARADERO/GOMEZ, Cuba",ok_primary
Croatia,Zagreb,45.8130967,15.9772795,"Zagreb, Croatia",ok_primary
Croatia,Zadar,44.1168594,15.2353257,"Zadar, Croatia",ok_primary
Croatia,Split,43.5116383,16.4399659,"Split, Croatia",ok_primary
Croatia,Rijeka,45.3267976,14.442208,"Rijeka, Croatia",ok_primary
Croatia,Pula,44.8702281,13.8455311,"PULA, Croatia",ok_primary
Croatia,Dubrovnik,42.6491029,18.0939501,"Dubrovnik, Croatia",ok_primary
Congo,Kinshasa,-4.3196982,15.3424196,"Kinshasa, Congo",ok_primary
Colombia,Bogota Airport,4.6733173,-74.1173647,"BOGOTA AIRPORT, Colombia",ok_primary
China,Xianyang,34.3323227,108.7128495,"Xianyang, China",ok_primary
Denmark,Billund,55.7247018,9.1195835,"BILLUND, Denmark",ok_primary
Denmark,Aarhus,56.1496278,10.2134046,"Aarhus, Denmark",ok_primary
Denmark,Aalborg,57.0462626,9.9215263,"Aalborg, Denmark",ok_primary
Czech Republic,Prague,50.0874654,14.4212535,"Prague, Czech Republic",ok_primary
Czech Republic,Pardubice,50.0385812,15.7791356,"PARDUBICE, Czech Republic",ok_primary
Czech Republic,Ostrava,49.8349139,18.2820084,"Ostrava, Czech Republic",ok_primary
Czech Republic,Kosice,50.1797445,15.5349958,"KOSICE, Czech Republic",ok_primary
Czech Republic,Kbely,50.1319574,14.5493202,"KBELY, Czech Republic",ok_primary
Czech Republic,Brno,49.1922443,16.6113382,"Brno, Czech Republic",ok_primary
Cyprus,Paphos,34.7743988,32.4231586,"Paphos, Cyprus",ok_primary
Cyprus,Larnaca,34.9236095,33.6236184,"Larnaca, Cyprus",ok_primary
