year;airport;country;city;q1;q2;q3;q4;total;is_domestic;route_type;continent;origin_airport;origin_lat;origin_lon;dest_lat;dest_lon
2016;STOCKHOLM-ARLANDA;Afghanistan;Kabul;;;;66.0;66;False;International;Asia;Stockholm Arlanda;59.6519;17.9186;34.5269503;69.1850584
2016;STOCKHOLM-ARLANDA;Albania;Tirana;6.0;;6.0;;12;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;41.3281482;19.8184435
2016;STOCKHOLM-ARLANDA;Algeria;Boufarik;;10.0;;;10;False;International;Africa;Stockholm Arlanda;59.6519;17.9186;36.5755523;2.9128963
2016;STOCKHOLM-ARLANDA;Algeria;Tamanrasset;;;;4.0;4;False;International;Africa;Stockholm Arlanda;59.6519;17.9186;22.7859372;5.5291395
2016;STOCKHOLM-ARLANDA;Aruba;Oranjestad/Beatrix;4184.0;;;3312.0;7496;False;International;Americas;Stockholm Arlanda;59.6519;17.9186;12.5013629;-69.9618475
2016;STOCKHOLM-ARLANDA;Azerbaijan;Baku/Bina;;;7.0;;7;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;40.3936294;47.7872508
2016;STOCKHOLM-ARLANDA;Bahrain;Bahrain;;;2.0;;2;False;International;Asia;Stockholm Arlanda;59.6519;17.9186;26.0311459;50.5143663
2016;STOCKHOLM-ARLANDA;Belgium;Antwerp;16.0;;;;16;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;51.2211097;4.3997081
2016;STOCKHOLM-ARLANDA;Belgium;Brussels;27989.0;25988.0;28528.0;38202.0;120707;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;50.8467372;4.352493
2016;STOCKHOLM-ARLANDA;Belgium;Charleroi;;8.0;;;8;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;50.4116233;4.444528
2016;STOCKHOLM-ARLANDA;Belgium;Liege;;5.0;2.0;;7;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;50.4708135;5.7735658
2016;STOCKHOLM-ARLANDA;Belgium;Oostende-Brugge;;;19.0;7.0;26;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;51.2003125;2.8739254
2016;STOCKHOLM-ARLANDA;Bosnia and Herzegovina;Sarajevo;3978.0;6604.0;8243.0;4248.0;23073;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;43.8570713;18.4126147
2016;STOCKHOLM-ARLANDA;Botswana;Sir Seretse Khama In;;;1.0;;1;False;International;Africa;Stockholm Arlanda;59.6519;17.9186;-23.1681782;24.5928742
2016;STOCKHOLM-ARLANDA;Brazil;Sao Paolo;;;;5.0;5;False;International;Americas;Stockholm Arlanda;59.6519;17.9186;-23.5506507;-46.6333824
2016;STOCKHOLM-ARLANDA;Bulgaria;Burgas;;2570.0;9471.0;;12041;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;42.4936616;27.4721276
2016;STOCKHOLM-ARLANDA;Bulgaria;Sofia;;;;205.0;205;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;42.6977028;23.3217359
2016;STOCKHOLM-ARLANDA;Bulgaria;Varna;;2537.0;4637.0;139.0;7313;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;43.2073873;27.9166653
2016;STOCKHOLM-ARLANDA;Canada;Gander;;;50.0;;50;False;International;Americas;Stockholm Arlanda;59.6519;17.9186;48.9592291;-54.6187879
2016;STOCKHOLM-ARLANDA;Canada;Goose Bay;5.0;;;;5;False;International;Americas;Stockholm Arlanda;59.6519;17.9186;53.333333;-60.416667
2016;STOCKHOLM-ARLANDA;Canada;Halifax;;3.0;;;3;False;International;Americas;Stockholm Arlanda;59.6519;17.9186;44.648618;-63.5859487
2016;STOCKHOLM-ARLANDA;Canada;Montreal;;;;4.0;4;False;International;Americas;Stockholm Arlanda;59.6519;17.9186;45.5031824;-73.5698065
2016;STOCKHOLM-ARLANDA;Canada;Toronto;;3.0;;;3;False;International;Americas;Stockholm Arlanda;59.6519;17.9186;43.6534817;-79.3839347
2016;STOCKHOLM-ARLANDA;Canada;Vancouver;;3.0;;;3;False;International;Americas;Stockholm Arlanda;59.6519;17.9186;49.2608724;-123.113952
2016;STOCKHOLM-ARLANDA;Canada;Winnipeg;;284.0;;;284;False;International;Americas;Stockholm Arlanda;59.6519;17.9186;49.8955367;-97.1384584
